id,name,value,session_id,data_set_id
1,buttonPressed,submit,i291,
2,email_address,,i291,
3,isTimeout,0,i291,
4,postcode,,i291,
5,timeTaken,8.539513111,i291,
6,buttonPressed,submit,i294,
7,email_address,,i294,
8,isTimeout,0,i294,
9,postcode,,i294,
10,timeTaken,15.22521996,i294,
11,buttonPressed,submit,i296,
12,email_address,,i296,
13,isTimeout,0,i296,
14,postcode,,i296,
15,timeTaken,17.97689486,i296,
16,buttonPressed,submit,i297,
17,email_address,,i297,
18,isTimeout,0,i297,
19,postcode,,i297,
20,timeTaken,2.419465065,i297,
21,buttonPressed,submit,i298,
22,email_address,,i298,
23,isTimeout,0,i298,
24,postcode,,i298,
25,timeTaken,28.38997579,i298,
26,buttonPressed,submit,i305,
27,email_address,,i305,
28,isTimeout,0,i305,
29,postcode,,i305,
30,timeTaken,63.03875804,i305,
31,buttonPressed,submit,i313,
32,email_address,,i313,
33,isTimeout,0,i313,
34,postcode,,i313,
35,timeTaken,28.60724902,i313,
36,buttonPressed,submit,i315,
37,email_address,,i315,
38,isTimeout,0,i315,
39,postcode,,i315,
40,timeTaken,34.0719409,i315,
41,buttonPressed,submit,i318,
42,email_address,,i318,
43,isTimeout,0,i318,
44,postcode,,i318,
45,timeTaken,12.15814185,i318,
46,buttonPressed,submit,i325,
47,email_address,,i325,
48,isTimeout,0,i325,
49,postcode,,i325,
50,timeTaken,6.547677994,i325,
51,buttonPressed,submit,i404,
52,email_address,,i404,
53,isTimeout,0,i404,
54,postcode,,i404,
55,timeTaken,12.34483504,i404,
56,buttonPressed,submit,i411,
57,email_address,,i411,
58,isTimeout,0,i411,
59,postcode,4402,i411,
60,timeTaken,34.079283,i411,
61,buttonPressed,submit,i399,
62,email_address,,i399,
63,isTimeout,0,i399,
64,postcode,,i399,
65,timeTaken,37.43594003,i399,
66,buttonPressed,submit,i419,
67,email_address,,i419,
68,isTimeout,0,i419,
69,postcode,,i419,
70,timeTaken,40.97601295,i419,
71,buttonPressed,submit,i409,
72,email_address,,i409,
73,isTimeout,0,i409,
74,postcode,,i409,
75,timeTaken,11.04001904,i409,
76,buttonPressed,submit,i475,
77,email_address,,i475,
78,isTimeout,0,i475,
79,postcode,,i475,
80,timeTaken,22.27431011,i475,
81,buttonPressed,submit,i481,
82,email_address,,i481,
83,isTimeout,0,i481,
84,postcode,4209,i481,
85,timeTaken,22.29039311,i481,
86,buttonPressed,submit,i512,
87,email_address,,i512,
88,isTimeout,0,i512,
89,postcode,2324,i512,
