id,name,value,session_id,data_set_id
1,age,30,i226,
2,buttonPressed,submit,i226,
3,gender,male,i226,
4,isTimeout,0,i226,
5,krongold,No,i226,
6,nationality,Australian,i226,
7,timeTaken,7.310263872,i226,
8,email_address,,i226,
9,postcode,3977,i226,
10,age,55,i227,
11,buttonPressed,submit,i227,
12,gender,male,i227,
13,isTimeout,0,i227,
14,krongold,No,i227,
15,nationality,oz,i227,
16,timeTaken,14.1263442,i227,
17,age,33,i228,
18,buttonPressed,submit,i228,
19,gender,female,i228,
20,isTimeout,0,i228,
21,krongold,No,i228,
22,nationality,qq,i228,
23,timeTaken,13.24685407,i228,
24,age,44,i229,
25,buttonPressed,submit,i229,
26,gender,male,i229,
27,isTimeout,0,i229,
28,krongold,No,i229,
29,nationality,ee,i229,
30,timeTaken,9.380990028,i229,
31,age,33,i230,
32,buttonPressed,submit,i230,
33,gender,male,i230,
34,isTimeout,0,i230,
35,krongold,No,i230,
36,nationality,AA,i230,
37,timeTaken,44.74909496,i230,
38,age,22,i231,
39,buttonPressed,submit,i231,
40,gender,female,i231,
41,isTimeout,0,i231,
42,krongold,No,i231,
43,nationality,aa,i231,
44,timeTaken,8.270655155,i231,
45,age,25,i233,
46,buttonPressed,submit,i233,
47,gender,female,i233,
48,isTimeout,0,i233,
49,krongold,No,i233,
50,nationality,,i233,
51,timeTaken,14.16128206,i233,
52,age,25,i234,
53,buttonPressed,submit,i234,
54,gender,female,i234,
55,isTimeout,0,i234,
56,krongold,No,i234,
57,nationality,,i234,
58,timeTaken,15.30535197,i234,
59,age,25,i235,
60,buttonPressed,submit,i235,
61,gender,female,i235,
62,isTimeout,0,i235,
63,krongold,No,i235,
64,nationality,,i235,
65,timeTaken,8.359852791,i235,
66,age,25,i236,
67,buttonPressed,submit,i236,
68,gender,female,i236,
69,isTimeout,0,i236,
70,krongold,No,i236,
71,nationality,,i236,
72,timeTaken,6.890069962,i236,
73,age,25,i237,
74,buttonPressed,submit,i237,
75,gender,female,i237,
76,isTimeout,0,i237,
77,krongold,No,i237,
78,nationality,,i237,
79,timeTaken,39.00676894,i237,
80,age,25,i238,
81,buttonPressed,submit,i238,
82,gender,female,i238,
83,isTimeout,0,i238,
84,krongold,No,i238,
85,nationality,,i238,
86,timeTaken,11.42498517,i238,
87,age,25,i239,
88,buttonPressed,submit,i239,
89,gender,female,i239,
90,isTimeout,0,i239,
91,krongold,No,i239,
92,nationality,,i239,
93,timeTaken,33.59848499,i239,
94,age,25,i241,
95,buttonPressed,submit,i241,
96,gender,female,i241,
97,isTimeout,0,i241,
98,krongold,No,i241,
99,nationality,,i241,
100,timeTaken,17.76548314,i241,
101,age,23,i242,
102,buttonPressed,submit,i242,
103,gender,male,i242,
104,isTimeout,0,i242,
105,krongold,No,i242,
106,nationality,FAKE,i242,
107,timeTaken,11.05416512,i242,
108,age,25,i243,
109,buttonPressed,submit,i243,
110,gender,female,i243,
111,isTimeout,0,i243,
112,krongold,No,i243,
113,nationality,,i243,
114,timeTaken,7.355236053,i243,
115,age,25,i244,
116,buttonPressed,submit,i244,
117,gender,female,i244,
118,isTimeout,0,i244,
119,krongold,No,i244,
120,nationality,,i244,
121,timeTaken,8.999265909,i244,
122,age,21,i245,
123,buttonPressed,submit,i245,
124,gender,female,i245,
125,isTimeout,0,i245,
126,krongold,No,i245,
127,nationality,,i245,
128,timeTaken,9.375647068,i245,
129,age,18,i246,
130,buttonPressed,submit,i246,
131,gender,male,i246,
132,isTimeout,0,i246,
133,krongold,No,i246,
134,nationality,,i246,
135,timeTaken,820.509119,i246,
136,age,18,i247,
137,buttonPressed,submit,i247,
138,gender,male,i247,
139,isTimeout,0,i247,
140,krongold,No,i247,
141,nationality,,i247,
142,timeTaken,5.11864686,i247,
143,age,18,i248,
144,buttonPressed,submit,i248,
145,gender,male,i248,
146,isTimeout,0,i248,
147,krongold,No,i248,
148,nationality,,i248,
149,timeTaken,6.995125055,i248,
150,age,27,i251,
151,buttonPressed,submit,i251,
152,gender,male,i251,
153,isTimeout,0,i251,
154,krongold,No,i251,
155,nationality,Singaporean,i251,
156,timeTaken,9.22461915,i251,
157,email_address,,i251,
158,postcode,,i251,
159,age,24,i252,
160,buttonPressed,submit,i252,
161,gender,female,i252,
162,isTimeout,0,i252,
163,krongold,No,i252,
164,nationality,Singaporean,i252,
165,timeTaken,36.47818613,i252,
166,email_address,,i252,
167,postcode,,i252,
168,age,27,i254,
169,buttonPressed,submit,i254,
170,gender,male,i254,
171,isTimeout,0,i254,
172,krongold,No,i254,
173,nationality,,i254,
174,timeTaken,34.41887188,i254,
175,email_address,,i254,
176,postcode,,i254,
177,age,25,i260,
178,buttonPressed,submit,i260,
179,gender,female,i260,
180,isTimeout,0,i260,
181,krongold,No,i260,
182,nationality,,i260,
183,timeTaken,101.004415,i260,
184,email_address,,i260,
185,postcode,,i260,
186,age,25,i262,
187,buttonPressed,submit,i262,
188,gender,female,i262,
189,isTimeout,0,i262,
190,krongold,No,i262,
191,nationality,,i262,
192,timeTaken,7.120831966,i262,
193,age,25,i264,
194,buttonPressed,submit,i264,
