id,item_id,response,trait,correct,session_id,time_taken,data_set_id
1,1,c,gc,1,i226,6.13215589523315,
2,2,a,gc,1,i226,4.81612086296082,
3,3,d,gc,1,i226,9.65560793876648,
4,4,b,gc,1,i226,4.3035740852356,
5,5,c,gc,1,i226,4.56400203704834,
6,6,d,gc,1,i226,4.78616714477539,
7,7,c,gc,1,i226,6.84733295440674,
8,8,a,gc,1,i226,3.26982307434082,
9,9,a,gc,1,i226,3.83693099021912,
10,10,a,gc,1,i226,3.1832480430603,
11,11,c,gc,1,i226,6.11955094337463,
12,12,a,gc,1,i226,3.15994882583618,
13,13,a,gc,1,i226,7.58155512809753,
14,14,a,gc,1,i226,13.6936359405518,
15,15,c,gc,1,i226,5.06134581565857,
16,16,d,gc,1,i226,4.06678199768066,
17,17,b,gc,1,i226,3.45699596405029,
18,18,d,gc,1,i226,3.53552985191345,
19,19,a,gc,1,i226,24.5113070011139,
20,20,b,gc,1,i226,4.39130997657776,
21,21,b,gc,1,i226,3.75055003166199,
22,22,a,gc,1,i226,3.4349148273468,
23,23,d,gc,1,i226,5.56923389434814,
24,24,a,gc,1,i226,5.14050698280334,
25,25,a,gc,1,i226,6.82381987571716,
26,26,d,gc,1,i226,15.1689319610596,
27,27,b,gc,1,i226,3.08395910263062,
28,28,b,gc,1,i226,7.05722093582153,
29,29,d,gc,1,i226,4.22597789764404,
30,30,b,gc,1,i226,4.05175399780273,
31,31,b,gc,1,i226,4.93857002258301,
32,32,d,gc,1,i226,3.14762806892395,
33,33,c,gc,1,i226,3.45215797424316,
34,34,d,gc,1,i226,4.54895496368408,
35,35,c,gc,1,i226,3.65687298774719,
36,36,d,gc,1,i226,2.90862798690796,
37,37,b,gc,1,i226,2.78151798248291,
38,38,b,gc,1,i226,3.85134506225586,
39,39,c,gc,1,i226,3.11646604537964,
40,40,c,gc,1,i226,3.07624387741089,
41,41,b,gc,1,i226,3.4893798828125,
42,42,d,gc,1,i226,3.82791185379028,
43,43,c,gc,1,i226,3.66547393798828,
44,44,b,gc,1,i226,3.93127799034119,
45,45,d,gc,1,i226,3.65782999992371,
46,46,c,gc,0,i226,14.0642371177673,
47,47,c,gc,1,i226,3.18358707427979,
48,48,a,gc,1,i226,3.08564686775208,
49,49,a,gc,0,i226,3.137540102005,
50,50,a,gc,1,i226,6.30388879776001,
51,51,b,gc,0,i226,5.85702514648438,
52,52,d,gc,1,i226,4.70315003395081,
53,53,a,gc,1,i226,2.98477101325989,
54,54,a,gc,0,i226,4.14337682723999,
55,55,d,gc,1,i226,5.02081894874573,
56,1,,gc,0,i227,30,
57,1,c,gc,1,i228,10.5208468437195,
58,2,a,gc,1,i228,5.51580595970154,
59,3,d,gc,1,i228,6.42967700958252,
60,4,b,gc,1,i228,4.64423012733459,
61,5,c,gc,1,i228,5.46190500259399,
62,6,d,gc,1,i228,4.39441394805908,
63,7,c,gc,1,i228,4.79463195800781,
64,8,a,gc,1,i228,4.49286890029907,
65,9,a,gc,1,i228,4.59838795661926,
66,10,a,gc,1,i228,4.05225300788879,
67,11,c,gc,1,i228,4.25430107116699,
68,12,a,gc,1,i228,3.97391486167908,
69,13,a,gc,1,i228,6.04515910148621,
70,14,a,gc,1,i228,4.88536715507507,
71,15,c,gc,1,i228,6.7537841796875,
72,16,d,gc,1,i228,4.45338606834412,
73,17,b,gc,1,i228,4.67042589187622,
74,18,d,gc,1,i228,3.96324586868286,
75,19,a,gc,1,i228,4.7814040184021,
76,20,b,gc,1,i228,6.43846893310547,
77,21,b,gc,1,i228,4.21233701705933,
78,22,a,gc,1,i228,3.85393285751343,
79,23,d,gc,1,i228,5.14522099494934,
80,24,a,gc,1,i228,5.66130185127258,
81,25,a,gc,1,i228,4.92424988746643,
82,26,d,gc,1,i228,4.46258211135864,
83,27,b,gc,1,i228,4.06751108169556,
84,28,b,gc,1,i228,3.9642219543457,
85,29,d,gc,1,i228,5.35072612762451,
86,30,b,gc,1,i228,5.00426816940308,
87,31,b,gc,1,i228,4.74431300163269,
88,32,d,gc,1,i228,4.06508588790894,
89,33,c,gc,1,i228,6.11967802047729,
90,34,d,gc,1,i228,4.77269411087036,
91,35,c,gc,1,i228,4.49002289772034,
92,36,d,gc,1,i228,3.44681406021118,
93,37,b,gc,1,i228,3.80462002754211,
94,38,b,gc,1,i228,7.47833299636841,
95,39,c,gc,1,i228,4.19920992851257,
96,40,c,gc,1,i228,4.83966994285583,
97,41,b,gc,1,i228,4.5189380645752,
98,42,d,gc,1,i228,3.75456595420837,
99,43,c,gc,1,i228,6.55508589744568,
100,44,b,gc,1,i228,4.59979510307312,
101,45,d,gc,1,i228,7.25507307052612,
102,46,b,gc,1,i228,9.04915189743042,
103,47,c,gc,1,i228,4.2390251159668,
104,48,a,gc,1,i228,3.88929796218872,
105,49,c,gc,1,i228,10.9355599880219,
106,50,a,gc,1,i228,4.6367781162262,
107,51,c,gc,1,i228,5.599937915802,
108,52,d,gc,1,i228,5.08616900444031,
109,53,a,gc,1,i228,3.98373889923096,
110,54,c,gc,1,i228,4.28560400009155,
111,55,d,gc,1,i228,6.18875098228455,
112,42,,gc,0,i231,30,
113,55,,gc,0,i231,30,
114,2,b,gc,0,i247,8.53146886825562,
115,3,b,gc,0,i247,14.4739770889282,
116,4,b,gc,1,i247,6.59112501144409,
117,5,a,gc,0,i247,7.18440294265747,
118,6,d,gc,1,i247,5.18283700942993,
119,7,c,gc,1,i247,6.6893310546875,
120,1,c,gc,1,i252,22.8498601913452,
121,2,a,gc,1,i252,7.21686983108521,
122,3,d,gc,1,i252,7.46097493171692,
123,4,b,gc,1,i252,7.0549647808075,
124,5,c,gc,1,i252,5.4613139629364,
125,6,d,gc,1,i252,4.63108587265015,
126,7,c,gc,1,i252,5.43536305427551,
127,8,a,gc,1,i252,4.73180389404297,
128,9,a,gc,1,i252,7.80476093292236,
129,10,a,gc,1,i252,4.01067709922791,
130,11,c,gc,1,i252,5.88110208511353,
131,12,a,gc,1,i252,4.9483859539032,
132,13,a,gc,1,i252,13.3213529586792,
133,14,a,gc,1,i252,19.9679238796234,
