id,item_id,response,trait,correct,session_id,time_taken,data_set_id
1,1,b,gf1,1,i226,2.78933310508728,
2,2,b,gf1,1,i226,3.33150196075439,
3,3,d,gf1,1,i226,2.36592483520508,
4,4,b,gf1,0,i226,3.33828592300415,
5,5,d,gf1,1,i226,2.73113608360291,
6,6,c,gf1,1,i226,3.97817587852478,
7,7,a,gf1,1,i226,4.49855589866638,
8,8,b,gf1,1,i226,4.04488396644592,
9,9,c,gf1,1,i226,5.17616486549377,
10,10,c,gf1,1,i226,2.94307708740234,
11,11,d,gf1,1,i226,9.35256195068359,
12,12,d,gf1,0,i226,11.9868760108948,
13,13,c,gf1,1,i226,6.16977214813232,
14,14,,gf1,0,i226,30,
15,15,b,gf1,0,i226,3.13682198524475,
16,16,c,gf2,1,i226,3.06394100189209,
17,17,b,gf2,1,i226,2.99709582328796,
18,18,d,gf2,1,i226,2.68520212173462,
19,19,b,gf2,1,i226,41.0497372150421,
20,20,c,gf2,0,i226,30.69016289711,
21,21,a,gf2,0,i226,43.7310671806335,
22,22,a,gf2,0,i226,27.795658826828,
23,23,b,gf2,1,i226,54.2364571094513,
24,24,c,gf2,1,i226,40.6620209217072,
25,25,a,gf2,0,i226,60,
26,26,e,gf2,1,i226,6.67763996124268,
27,27,e,gf2,0,i226,2.40272808074951,
28,28,f,gf2,0,i226,2.74821805953979,
29,29,f,gf2,0,i226,2.37719392776489,
30,30,e,gf2,0,i226,2.18946099281311,
31,31,e,gf2,0,i226,2.15249109268188,
32,32,e,gf2,0,i226,1.97123789787292,
33,33,e,gf2,0,i226,2.45857501029968,
34,1,b,gf1,1,i239,9.20919489860535,
35,2,b,gf1,1,i239,5.84557700157166,
36,3,d,gf1,1,i239,4.52667593955994,
37,4,a,gf1,1,i239,8.02743005752563,
38,5,d,gf1,1,i239,9.04719209671021,
39,6,c,gf1,1,i239,5.8710470199585,
40,7,a,gf1,1,i239,5.60497999191284,
41,8,b,gf1,1,i239,4.90122294425964,
42,9,c,gf1,1,i239,9.91798186302185,
43,10,c,gf1,1,i239,14.7151701450348,
44,11,d,gf1,1,i239,14.8471939563751,
45,12,c,gf1,1,i239,10.426148891449,
46,13,d,gf1,0,i239,27.4063408374786,
47,14,b,gf1,0,i239,22.5657448768616,
48,15,,gf1,0,i239,30,
49,16,a,gf2,0,i239,19.5239861011505,
50,17,d,gf2,0,i239,22.2064950466156,
51,18,d,gf2,1,i239,60,
52,19,b,gf2,1,i239,22.5547869205475,
53,20,b,gf2,1,i239,18.7187309265137,
54,21,c,gf2,1,i239,30.016284942627,
55,22,a,gf2,0,i239,37.2886049747467,
56,23,b,gf2,1,i239,22.8562109470367,
57,24,d,gf2,0,i239,54.9929230213165,
58,25,c,gf2,0,i239,60,
59,26,e,gf2,1,i239,60,
60,27,c,gf2,1,i239,28.3784101009369,
61,28,e,gf2,1,i239,30.3851878643036,
62,29,,gf2,0,i239,60,
63,30,d,gf2,0,i239,5.89532995223999,
64,31,e,gf2,0,i239,5.86722898483276,
65,32,d,gf2,0,i239,3.78647685050964,
66,33,b,gf2,0,i239,3.85235595703125,
67,1,b,gf1,1,i247,9.22558808326721,
68,2,b,gf1,1,i247,4.40280890464783,
69,3,d,gf1,1,i247,4.51408004760742,
70,4,a,gf1,1,i247,4.54647088050842,
71,5,d,gf1,1,i247,7.62970113754272,
72,6,c,gf1,1,i247,13.931648015976,
73,7,a,gf1,1,i247,6.70341300964355,
74,8,b,gf1,1,i247,5.72663283348083,
75,9,,gf1,0,i247,30,
76,10,c,gf1,1,i247,9.07471084594727,
77,11,d,gf1,1,i247,9.69934296607971,
78,12,c,gf1,1,i247,30,
79,13,,gf1,0,i247,30,
80,14,b,gf1,0,i247,27.2289428710938,
