id,item_id,response,trait,correct,session_id,time_taken,data_set_id
1,1,same,gv,1,i226,3.17079401016235,
2,2,same,gv,1,i226,3.42881917953491,
3,3,different,gv,1,i226,3.98493194580078,
4,4,same,gv,1,i226,5.2721061706543,
5,5,different,gv,1,i226,6.49454212188721,
6,6,same,gv,1,i226,3.85991787910461,
7,7,different,gv,1,i226,4.2674298286438,
8,8,same,gv,1,i226,4.37777996063232,
9,9,different,gv,1,i226,4.28525614738464,
10,10,same,gv,1,i226,4.04602098464966,
11,11,different,gv,0,i226,8.78723788261414,
12,12,different,gv,1,i226,5.25317788124084,
13,13,same,gv,1,i226,4.94099020957947,
14,14,same,gv,0,i226,5.90766501426697,
15,15,different,gv,1,i226,13.3272449970245,
16,16,same,gv,1,i226,8.45838117599487,
17,17,same,gv,0,i226,5.8084979057312,
18,18,same,gv,1,i226,4.81792998313904,
19,19,different,gv,1,i226,9.15423989295959,
20,20,different,gv,1,i226,30,
21,21,different,gv,1,i226,7.93409991264343,
22,22,same,gv,1,i226,7.98857688903809,
23,23,different,gv,1,i226,12.5012149810791,
24,24,different,gv,1,i226,11.6636669635773,
25,25,same,gv,1,i226,4.74259305000305,
26,26,different,gv,0,i226,11.392077922821,
27,27,different,gv,1,i226,10.7726919651031,
28,28,different,gv,1,i226,4.95173811912537,
29,29,same,gv,1,i226,14.2593050003052,
30,30,,gv,0,i226,30,
31,31,different,gv,1,i226,18.3848059177399,
32,32,same,gv,1,i226,8.57879710197449,
33,33,same,gv,1,i226,10.7879409790039,
34,35,same,gv,0,i226,24.3893880844116,
35,36,,gv,0,i226,30,
36,37,same,gv,1,i226,28.1541268825531,
37,38,same,gv,0,i226,10.6980121135712,
38,39,same,gv,1,i226,27.8913578987122,
39,40,different,gv,1,i226,8.03019022941589,
40,41,same,gv,1,i226,12.9163360595703,
41,42,different,gv,1,i226,13.0417120456696,
42,43,different,gv,0,i226,6.92632102966309,
43,44,different,gv,0,i226,10.2513380050659,
44,45,same,gv,0,i226,10.6021959781647,
45,46,different,gv,1,i226,13.0438940525055,
46,47,different,gv,1,i226,11.0935289859772,
47,48,same,gv,1,i226,4.03221392631531,
48,49,same,gv,1,i226,8.11381387710571,
49,50,different,gv,1,i226,9.41402792930603,
50,51,same,gv,0,i226,5.35435318946838,
51,52,same,gv,1,i226,15.0672678947449,
52,1,same,gv,1,i238,7.86769199371338,
53,2,same,gv,1,i238,5.16093301773071,
54,3,different,gv,1,i238,4.40524888038635,
55,4,same,gv,1,i238,11.2660439014435,
56,5,different,gv,1,i238,5.68826794624329,
57,6,same,gv,1,i238,5.52885007858276,
58,7,different,gv,1,i238,8.09211707115173,
59,8,same,gv,1,i238,8.56804704666138,
60,9,different,gv,1,i238,19.2326939105988,
61,10,same,gv,1,i238,5.809730052948,
62,11,different,gv,0,i238,11.3961360454559,
63,1,same,gv,1,i245,26.2663900852203,
64,2,same,gv,1,i245,6.99330306053162,
65,3,different,gv,1,i245,4.9817259311676,
66,1,same,gv,1,i247,7.50780296325684,
67,2,same,gv,1,i247,3.79807615280151,
68,3,different,gv,1,i247,6.05369091033936,
69,4,same,gv,1,i247,22.9836449623108,
70,5,different,gv,1,i247,11.0879919528961,
71,6,same,gv,1,i247,8.75884389877319,
72,7,different,gv,1,i247,6.56554388999939,
73,8,same,gv,1,i247,3.72689604759216,
74,9,different,gv,1,i247,3.48070096969604,
75,10,same,gv,1,i247,4.04424691200256,
76,11,same,gv,1,i247,3.79991483688354,
77,12,different,gv,1,i247,3.84452486038208,
78,13,same,gv,1,i247,3.80615496635437,
79,14,different,gv,1,i247,4.15775489807129,
80,15,different,gv,1,i247,4.8482620716095,
81,16,same,gv,1,i247,5.41732215881348,
82,17,different,gv,1,i247,4.16661810874939,
83,18,same,gv,1,i247,4.16773390769958,
