id,item_id,response,trait,correct,session_id,time_taken,data_set_id
1,1,3,gwm,1,i226,8.63264012336731,
2,2,yellow,gwm,1,i226,7.9923779964447,
3,3,green,gwm,1,i226,8.61154198646545,
4,4,orange,gwm,1,i226,9.75967907905579,
5,5,5,gwm,1,i226,9.40874409675598,
6,6,9,gwm,1,i226,11.2425539493561,
7,7,"red and brown",gwm,1,i226,10.0567500591278,
8,8,"9 then 6",gwm,1,i226,14.7453088760376,
9,9,"pink then 7",gwm,1,i226,12.2789700031281,
10,10,grey,gwm,1,i226,12.4909980297089,
11,11,8,gwm,1,i226,10.704174041748,
12,12,"1 and 9",gwm,1,i226,12.7634170055389,
13,13,"4 then brown",gwm,0,i226,14.9827489852905,
14,14,"grey then 4",gwm,1,i226,11.86448097229,
15,15,2,gwm,1,i226,15.4284801483154,
16,16,green,gwm,1,i226,24.3398349285126,
17,17,8,gwm,1,i226,21.3886778354645,
18,18,"2 and 1",gwm,1,i226,16.9838621616364,
19,19,6,gwm,0,i226,14.3205418586731,
20,20,"pink then green",gwm,1,i226,21.6593570709229,
21,21,"3 and 9",gwm,0,i226,5.88124799728394,
22,22,"blue and orange",gwm,0,i226,3.12023711204529,
23,23,"7 and 4",gwm,0,i226,3.33152389526367,
24,24,blue,gwm,0,i226,2.05693602561951,
25,25,yellow,gwm,0,i226,2.12622117996216,
26,26,1,gwm,0,i226,2.33339619636536,
27,27,"9 and 3",gwm,1,i226,2.97804498672485,
28,28,"yellow and orange",gwm,0,i226,2.00396800041199,
29,29,2,gwm,0,i226,2.20425891876221,
30,30,"5 and 7",gwm,1,i226,2.05478811264038,
31,31,"orange then yellow",gwm,1,i226,1.96072793006897,
32,32,"9 and 2",gwm,0,i226,1.93678379058838,
33,33,"7 and 4",gwm,0,i226,2.27749419212341,
34,34,"pink and brown",gwm,0,i226,2.93672299385071,
35,35,,gwm,0,i226,40,
36,36,"6 and 7",gwm,0,i226,2.53697991371155,
37,37,"orange then green",gwm,0,i226,2.52982211112976,
38,38,"6 then 8",gwm,0,i226,1.98124504089355,
39,1,3,gwm,1,i228,16.0755739212036,
40,2,yellow,gwm,1,i228,13.0294060707092,
41,3,green,gwm,1,i228,11.4424300193787,
42,4,orange,gwm,1,i228,8.68884682655334,
43,5,5,gwm,1,i228,9.92528986930847,
44,6,9,gwm,1,i228,11.0533971786499,
45,7,"red and brown",gwm,1,i228,11.9238998889923,
46,8,"9 then 6",gwm,1,i228,17.7823619842529,
47,9,"pink then 7",gwm,1,i228,14.4075689315796,
48,10,grey,gwm,1,i228,12.7427389621735,
49,11,8,gwm,1,i228,14.3414258956909,
50,12,"1 and 9",gwm,1,i228,12.0081729888916,
51,13,"3 then brown",gwm,1,i228,13.2691869735718,
52,14,"grey then 4",gwm,1,i228,14.0660359859467,
53,15,2,gwm,1,i228,16.1276030540466,
54,16,green,gwm,1,i228,13.4059448242188,
55,17,8,gwm,1,i228,21.900120973587,
56,18,"2 and 1",gwm,1,i228,17.9587390422821,
57,19,3,gwm,1,i228,14.6788280010223,
58,20,"pink then green",gwm,1,i228,26.4652819633484,
59,21,"4 and 9",gwm,0,i228,40,
60,22,"yellow and blue",gwm,1,i228,18.171168088913,
61,23,"3 and 1",gwm,1,i228,26.528345823288,
62,24,pink,gwm,1,i228,21.0355191230774,
63,25,orange,gwm,1,i228,23.3491859436035,
64,26,3,gwm,1,i228,27.3026559352875,
65,27,"9 and 3",gwm,1,i228,26.4933660030365,
66,28,"purple and grey",gwm,0,i228,32.3637509346008,
67,29,1,gwm,1,i228,37.4441070556641,
68,30,"9 and 8",gwm,0,i228,28.6700990200043,
69,31,"orange then blue",gwm,0,i228,31.1349420547485,
70,32,"9 and 2",gwm,0,i228,29.5306661128998,
71,33,"3 and 7",gwm,1,i228,26.9011809825897,
72,34,"pink and orange",gwm,0,i228,40,
73,35,"2 and 9",gwm,1,i228,22.8118159770966,
74,36,"3 and 2",gwm,0,i228,26.1614818572998,
75,37,"orange then purple",gwm,0,i228,39.2193241119385,
76,38,"1 then 2",gwm,0,i228,31.2668240070343,
77,1,3,gwm,1,i233,11.6242489814758,
78,2,yellow,gwm,1,i233,10.5210158824921,
79,3,green,gwm,1,i233,9.75761103630066,
80,4,orange,gwm,1,i233,11.5219259262085,
81,5,5,gwm,1,i233,9.53481101989746,
82,6,9,gwm,1,i233,9.77665996551514,
83,7,"red and brown",gwm,1,i233,11.0629589557648,
84,8,"9 then 6",gwm,1,i233,11.8285291194916,
85,9,"pink then 7",gwm,1,i233,10.9700319766998,
86,10,grey,gwm,1,i233,12.0980710983276,
87,11,8,gwm,1,i233,10.0886650085449,
88,12,"1 and 9",gwm,1,i233,10.5641560554504,
89,13,"3 then brown",gwm,1,i233,11.5005910396576,
90,14,"grey then 4",gwm,1,i233,17.1214559078217,
91,15,2,gwm,1,i233,13.1308832168579,
92,16,green,gwm,1,i233,12.7550868988037,
93,17,8,gwm,1,i233,14.6854500770569,
94,18,"2 and 1",gwm,1,i233,16.936518907547,
95,19,3,gwm,1,i233,14.334853887558,
96,20,"pink then green",gwm,1,i233,19.1971299648285,
97,21,"4 and 3",gwm,1,i233,17.3012199401855,
98,22,"yellow and blue",gwm,1,i233,16.6145389080048,
99,23,"3 and 1",gwm,1,i233,15.2794480323792,
100,24,pink,gwm,1,i233,21.6527588367462,
101,25,orange,gwm,1,i233,17.922199010849,
102,26,"7 ",gwm,0,i233,24.2951319217682,
103,27,"9 and 3",gwm,1,i233,40,
104,28,"purple and grey",gwm,0,i233,40,
105,29,9,gwm,0,i233,40,
106,30,"5 and 7",gwm,1,i233,29.7267949581146,
107,31,"orange then yellow",gwm,1,i233,27.3456079959869,
108,32,"2 and 8",gwm,1,i233,27.8041958808899,
