id,name,value,session_id,data_set_id
1,buttonPressed,submit,i289,
2,isTimeout,0,i289,
3,name,,i289,
4,timeTaken,5.101844072,i289,
5,buttonPressed,submit,i290,
6,isTimeout,0,i290,
7,name,,i290,
8,timeTaken,335.237504,i290,
9,buttonPressed,submit,i1207,
10,isTimeout,0,i1207,
11,name,,i1207,
12,timeTaken,245.025811,i1207,
13,buttonPressed,submit,i1210,
14,isTimeout,0,i1210,
15,name,,i1210,
16,timeTaken,5.648660898,i1210,
17,buttonPressed,submit,i1644,
18,isTimeout,0,i1644,
19,name,,i1644,
20,timeTaken,10.96117401,i1644,
21,buttonPressed,submit,i3040,
22,isTimeout,0,i3040,
23,name,,i3040,
24,timeTaken,6.386224031,i3040,
25,buttonPressed,submit,i3500,
26,isTimeout,0,i3500,
27,name,,i3500,
28,timeTaken,16.77719903,i3500,
29,buttonPressed,submit,i3786,
30,isTimeout,0,i3786,
31,name,,i3786,
32,timeTaken,5.34056592,i3786,
