id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
11,6,f,au,ipad,purple,6,b,6fauipadpurple6bN,N,,
12,31,m,au,pc,red,23,b,31maupcred23bas,a,s,
13,68,m,au,iphone,green,11,d,68mauiphonegreen11dLL,L,L,
14,46,f,au,galaxy,red,27,d,46faugalaxyred27dYM,Y,M,
15,65,f,au,laptop,blue,4,c,65faulaptopblue4cyr,y,r,
16,63,f,au,pc,fuchsia,21,c,63faupcfuchsia21cls,l,s,
17,34,m,au,pc,red,11,b,34maupcred11bGs,G,s,
18,59,f,au,ipad,azure,23,c,59fauipadazure23cNA,N,A,
19,22,f,au,laptop,azure,23,d,22faulaptopazure23dRI,R,I,
20,73,m,au,ipad,blue,1,b,73mauipadblue1bSP,S,P,
21,52,f,au,laptop,red,25,n,52faulaptopred25nOC,O,C,
22,22,o,au,pc,purple,73,d,22oaupcpurple73dDP,D,P,
23,22,f,au,laptop,plum,7,b,22faulaptopplum7bSP,S,P,
24,22,m,eu,pc,green,7,d,22meupcgreen7dcb,c,b,
25,63,f,au,laptop,purple,6,d,63faulaptoppurple6dKl,K,l,
26,63,f,au,pc,teal,2,d,63faupcteal2dcc,c,c,
27,19,m,au,pc,azure,27,d,19maupcazure27dMN,M,N,
28,63,f,au,laptop,purple,88,d,63faulaptoppurple88dsr,s,r,
29,62,m,au,laptop,white,2,pnts,62maulaptopwhite2pntskj,k,j,
30,56,m,au,pc,blue,98,b,56maupcblue98bSc,S,c,
31,56,f,eu,pc,yellow,1,b,56feupcyellow1bam,a,m,
32,56,f,eu,pc,yellow,1,b,56feupcyellow1bam,a,m,
33,64,f,au,laptop,azure,8,b,64faulaptopazure8bwl,w,l,
34,19,pnts,au,laptop,purple,99,b,19pntsaulaptoppurple99bus,u,s,
35,68,f,eu,laptop,aqua,42,b,68feulaptopaqua42bdc,d,c,
36,71,f,au,ipad,blue,7,d,71fauipadblue7dRB,R,B,
37,52,f,au,iphone,fuchsia,66,c,52fauiphonefuchsia66cNC,N,C,
38,22,f,au,laptop,purple,25,d,22faulaptoppurple25dsc,s,c,
39,40,f,au,pnts,green,2,pnts,40faupntsgreen2pntsRS,R,S,
40,53,m,au,pc,black,69,d,53maupcblack69dna,n,a,
41,20,o,au,laptop,crimson,60,b,20oaulaptopcrimson60bsc,s,c,
42,67,f,au,laptop,fuchsia,27,n,67faulaptopfuchsia27nkl,k,l,
43,61,m,au,pc,green,28,c,61maupcgreen28crc,r,c,
44,62,f,eu,laptop,aqua,50,b,62feulaptopaqua50bwr,w,r,
45,38,f,eu,iphone,blue,17,c,38feuiphoneblue17cCC,C,C,
46,49,f,au,laptop,yellow,2,c,49faulaptopyellow2cac,a,c,
47,69,f,au,pc,yellow,21,d,69faupcyellow21dMT,M,T,
48,75,f,au,laptop,green,4,pnts,75faulaptopgreen4pntsnf,n,f,
49,68,f,eu,laptop,aqua,3,d,68feulaptopaqua3dnp,n,p,
50,70,f,au,laptop,purple,45,c,70faulaptoppurple45cnc,n,c,
51,47,f,au,ipad,yellow,27,d,47fauipadyellow27dNC,N,C,
52,59,f,au,ipad,blue,7,d,59fauipadblue7dFP,F,P,
53,66,f,au,ipad,blue,21,b,66fauipadblue21bKC,K,C,
54,69,m,au,laptop,blue,42,c,69maulaptopblue42chs,h,s,
55,62,f,au,ipad,purple,5,d,62fauipadpurple5dCO,C,O,
56,53,f,au,iphone,purple,97,n,53fauiphonepurple97nYS,Y,S,
57,52,f,au,ipad,purple,19,d,52fauipadpurple19ddh,d,h,
58,75,m,au,pc,green,39,d,75maupcgreen39dNW,N,W,
59,50,f,eu,laptop,blue,3,d,50feulaptopblue3drs,r,s,
60,37,f,au,pc,teal,48,b,37faupcteal48bnM,n,M,
61,53,f,au,iphone,plum,73,d,53fauiphoneplum73dTT,T,T,
62,23,f,au,laptop,orange,6,d,23faulaptoporange6dAC,A,C,
63,74,f,au,laptop,teal,5,c,74faulaptopteal5csp,s,p,
64,55,f,au,ipad,fuchsia,25,n,55fauipadfuchsia25nSE,S,E,
65,69,m,au,pc,blue,13,c,69maupcblue13crm,r,m,
66,52,m,au,pc,blue,18,d,52maupcblue18dLP,L,P,
67,49,f,au,iphone,blue,5,d,49fauiphoneblue5dMP,M,P,
68,68,f,au,laptop,blue,7,c,68faulaptopblue7ccc,c,c,
69,42,f,au,iphone,magenta,7,c,42fauiphonemagenta7cMC,M,C,
70,56,f,au,laptop,teal,1,d,56faulaptopteal1dwp,w,p,
71,45,f,au,iphone,teal,4,d,45fauiphoneteal4dGL,G,L,
72,64,f,au,galaxy,red,5,n,64faugalaxyred5nit,i,t,
