id,item_id,response,timeTaken,session_id,score,trait
1317,36,d,24.07477808,i145,1,gc
1318,37,b,15.04814506,i145,1,gc
1319,38,b,22.85694289,i145,1,gc
1320,39,d,16.2107439,i145,0,gc
1321,40,c,7.369733095,i145,1,gc
1322,41,b,8.544517994,i145,1,gc
1323,42,,30,i145,0,gc
1324,11,,40,i146,0,gwm
1325,11,d,12.13915706,i150,1,gf30
1326,12,b,6.391566038,i150,0,gf30
1327,13,d,12.124089,i150,0,gf30
1328,14,b,9.403717995,i150,0,gf30
1329,15,b,9.313627005,i150,0,gf30
1330,29,d,18.39667106,i150,1,gf60
1331,30,d,7.581521988,i150,0,gf60
1332,36,,30,i151,0,gc
1333,31,d,10.40905905,i150,1,gf60
1334,32,d,10.64513302,i150,0,gf60
1335,33,a,12.21955109,i150,0,gf60
1336,37,,30,i151,0,gc
1337,1,b,4.215636015,i150,1,gf30
1338,2,b,3.289129019,i150,1,gf30
1339,3,d,3.532748938,i150,1,gf30
1340,4,a,11.73095012,i150,1,gf30
1341,5,d,4.847997904,i150,1,gf30
1342,38,,30,i151,0,gc
1343,6,c,9.064347982,i150,1,gf30
1344,7,a,6.331377029,i150,1,gf30
1345,8,b,5.82706809,i150,1,gf30
1346,39,b,20.49165511,i151,0,gc
1347,9,a,10.88660502,i150,0,gf30
1348,40,c,7.816783905,i151,1,gc
1349,10,c,6.740196943,i150,1,gf30
1350,16,,9.552598,i150,1,gf30
1351,41,b,12.10413408,i151,1,gc
1352,17,,9.337063074,i150,1,gf30
1353,42,d,9.801054001,i151,1,gc
1354,43,c,6.300744057,i151,1,gc
1355,18,d,12.28852391,i150,1,gf60
1356,44,a,7.683269024,i151,0,gc
1357,19,b,13.60577989,i150,1,gf60
1358,45,a,12.84712505,i151,0,gc
1359,20,b,7.570748091,i150,1,gf60
1360,46,a,8.560043097,i151,0,gc
1361,48,a,9.388740063,i151,1,gc
1362,21,a,12.42943001,i150,0,gf60
1363,49,b,7.416704893,i151,0,gc
1364,22,e,10.75544095,i150,0,gf60
1365,50,b,12.25938296,i151,0,gc
1366,23,c,8.566571951,i150,0,gf60
1367,51,a,7.833295107,i151,0,gc
1368,24,c,10.13447404,i150,1,gf60
1369,25,c,6.579441071,i150,0,gf60
1370,53,c,11.84566808,i151,0,gc
1371,26,b,9.705054998,i150,0,gf60
1372,54,d,14.69261694,i151,0,gc
1373,27,b,12.77723694,i150,0,gf60
1374,55,d,9.072532892,i151,1,gc
1375,28,b,7.95579195,i150,0,gf60
1376,56,c,9.351376057,i151,0,gc
1377,74,c,9.263107061,i150,1,gf30
1378,57,a,6.610821962,i151,1,gc
1379,58,d,5.372071981,i151,1,gc
1380,73,c,18.51083899,i150,0,gf30
1381,59,b,12.13062501,i151,0,gc
1382,60,a,9.493988991,i151,1,gc
1383,69,d,16.453475,i150,0,gf30
1384,62,b,14.67441607,i151,0,gc
1385,63,d,16.52719593,i150,0,gf30
1386,63,c,8.221815109,i151,1,gc
1387,47,b,7.221918106,i150,1,gf30
1388,64,d,8.118494034,i151,1,gc
1389,75,e,10.59722209,i150,0,gf30
1390,65,a,10.762465,i151,1,gc
1391,45,e,12.08899999,i150,1,gf30
1392,66,a,10.61328197,i151,0,gc
1393,48,e,4.77385807,i150,0,gf30
1394,4,b,9.389312983,i151,1,gc
1395,46,d,8.012198925,i150,1,gf30
1396,5,c,5.126219034,i151,1,gc
1397,6,d,4.702661037,i151,1,gc
1398,7,c,4.366959095,i151,1,gc
1399,8,a,3.846924067,i151,1,gc
1400,76,b,14.82593203,i150,0,gf30
1401,9,a,4.154772043,i151,1,gc
1402,10,a,3.093650103,i151,1,gc
1403,11,c,3.240586042,i151,1,gc
1404,12,a,5.727096081,i151,1,gc
1405,58,d,15.37541509,i150,0,gf30
1406,13,a,5.741179943,i151,1,gc
1407,53,f,8.978089094,i150,1,gf30
1408,14,a,5.907387018,i151,1,gc
1409,15,c,5.737546921,i151,1,gc
1410,42,d,12.25627398,i150,1,gf30
1411,16,b,10.37783098,i151,0,gc
1412,17,b,5.173866034,i151,1,gc
1413,18,d,3.701762915,i151,1,gc
1414,64,b,13.76802111,i150,1,gf30
1415,19,a,6.808796883,i151,1,gc
1416,21,b,4.632539034,i151,1,gc
1417,78,c,12.13490605,i150,0,gf30
1418,22,a,5.760359049,i151,1,gc
